Key,File,Type,UsedInMainMenu,english
itemAECSheriffMinionPart4star_desc,,, ,"A 4-star sheriff minion trophy part. Hard to find and highly valued."
itemAECSheriffMinionPart5star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 5 Stars[-]"
itemAECSheriffMinionPart5star_desc,,, ,"A 5-star sheriff minion trophy part. Top-tier piece with maximum trade value."
buffAECSheriffPlayerAura,buffs,Buff,false,"Sheriff's Aura"
buffAECSheriffPlayerAuraDesc,buffs,Buff,false,"The Sheriff's presence drains your stamina."
Doomlord,entityclasses,Entity,false,"Doomlord"
DoomlordDemolishman,entityclasses,Entity,false,"Doomlord Demolishman"
AECDoomlordDemolishmanBoss,entityclasses,Entity,false,"Doomlord Demolishman Boss"
AECDoomlordDemolishmanMinion,entityclasses,Entity,false,"Doomlord Minion"
AECDemolishmanMinion01,entityclasses,Entity,false,"Doomlord Minion01 Grenadier"
AECDemolishmanMinion02,entityclasses,Entity,false,"Doomlord Minion02 Rocket"
AECDemolishmanMinion03,entityclasses,Entity,false,"Doomlord Minion03 Pistol"
AECDemolishmanMinion04,entityclasses,Entity,false,"Doomlord Minion04 Shotgun"
AECDemolishmanMinion05,entityclasses,Entity,false,"Doomlord Minion05 Sniper"
AECDemolishmanMinion06,entityclasses,Entity,false,"Doomlord Minion06 Magnum"
AECDemolishmanMinion07,entityclasses,Entity,false,"Doomlord Minion07 Knife"
DoomlordBossLootBag,entityclasses,Entity,false,"Doomlord Boss Loot Bag"
DoomlordMinion01LootBag,entityclasses,Entity,false,"Doomlord Grenadier Loot Bag"
DoomlordMinion02LootBag,entityclasses,Entity,false,"Doomlord Rocket Loot Bag"
DoomlordMinion03LootBag,entityclasses,Entity,false,"Doomlord Pistol Loot Bag"
DoomlordMinion04LootBag,entityclasses,Entity,false,"Doomlord Shotgun Loot Bag"
DoomlordMinion05LootBag,entityclasses,Entity,false,"Doomlord Sniper Loot Bag"
DoomlordMinion06LootBag,entityclasses,Entity,false,"Doomlord Magnum Loot Bag"
DoomlordMinion07LootBag,entityclasses,Entity,false,"Doomlord Knife Loot Bag"
DoomlordMinionBaseLootBag,entityclasses,Entity,false,"Doomlord Minion Loot Bag"
questAECDoomlordHordeMinion_name,quests,,false,"[FF4500]Doomlord Minion Horde[-]"
questAECDoomlordHordeMinion_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeMinion_description,quests,,false,"Activate the rally, place the lure, then wipe out five waves of Doomlord base minions."
questAECDoomlordHordeMinion_offer,quests,,false,"Reports of Doomlord minions massing in the area. Trigger the rally, drop the lure, and brace for five waves."
questAECDoomlordHordeMinion_statement,quests,,false,"Wipe out all five waves of Doomlord minions."
questAECDoomlordHordeMinion_response,quests,,false,"AEC HORDE - [FF4500]Doomlord Minion Horde[-]"
questAECDoomlordHordeMinion_completion,quests,,false,"Good work. Five waves down. Here's your reward."
itemAECDoomlordContract_Minion,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Minion Horde[-]"
itemAECDoomlordContract_Minion_desc,,,false,"Contract: Eliminate five waves of Doomlord base minions."
eventAECDoomlordArrival_Minion_msg,,,false,"Doomlord minions are closing in — get ready!"
questAECDoomlordHordeGrenadier_name,quests,,false,"[FF4500]Grenadier Horde[-]"
questAECDoomlordHordeGrenadier_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeGrenadier_description,quests,,false,"Activate the rally, place the signal lure, then eliminate five waves of Doomlord Grenadiers."
questAECDoomlordHordeGrenadier_offer,quests,,false,"Intel says Doomlord is sending Grenadier squads your way. Activate the rally, place the signal lure, then hold for five waves. Think you can handle that?"
questAECDoomlordHordeGrenadier_statement,quests,,false,"I'll arm the signal lure and wipe out all five Grenadier waves."
questAECDoomlordHordeGrenadier_response,quests,,false,"AEC HORDE - [FF4500]Grenadier Horde[-]"
questAECDoomlordHordeGrenadier_completion,quests,,false,"Not bad. Those Grenadiers won't be throwing any more surprises."
aecQuestSignalLure,blocks,Block,false,"AEC Signal Lure"
aecQuestSignalLureDesc,blocks,Block Desc,false,"Quest item. Place this lure after activating the rally point to draw the enemy waves to your position."
aecQuestAllInOneLure,blocks,Block,false,"All-In-One Lure"
aecQuestAllInOneLureDesc,blocks,Block Desc,false,"Quest item. Place this reinforced lure to trigger The All-In-One Hunt and pull every marked boss pair onto your position."
aecQuestRelay,blocks,Block,false,"[FFD700]AEC[-] Contract Relay"
aecQuestRelayDesc,blocks,Block Desc,false,"A salvaged radio converted into an AEC contract terminal. Use it to summon the Huntmaster and access AEC-only contracts."
aecPortableAmmoWorkshop,blocks,Block,false,"[00E5FF]AEC[-] Portable Ammo Workshop"
aecPortableAmmoWorkshopDesc,blocks,Block Desc,false,"Portable AEC ammo bench with a table saw shell. Place it, craft unlocked workbench munitions."
dialogAECQuestGiverStart,dialogs,,false,"State your echelon. I only handle AEC contracts."
dialogAECQuestGiverQuest,dialogs,,false,"Show me the AEC contracts."
dialogAECQuestGiverQuestTier1,dialogs,,false,"Show me the Tier 1 AEC contracts."
dialogAECQuestGiverQuestTier2,dialogs,,false,"Show me the Tier 2 AEC contracts."
dialogAECQuestGiverQuestTier3,dialogs,,false,"Show me the Tier 3 AEC contracts."
dialogAECQuestGiverQuestTier4,dialogs,,false,"Show me the Tier 4 AEC contracts."
dialogAECQuestGiverQuestTier5,dialogs,,false,"Show me the Tier 5 AEC contracts."
dialogAECQuestGiverQuestTier6,dialogs,,false,"Show me the Tier 6 AEC contracts."
dialogAECQuestGiverQuestList,dialogs,,false,"Pick your echelon. The deepest page also carries the legendary contracts."
dialogAECQuestGiverQuestInProgress,dialogs,,false,"I'm already on a contract."
dialogAECQuestGiverQuestInProgressNext,dialogs,,false,"Then finish it and come back. I do not stack AEC work."
dialogAECQuestGiverDisableQuesting,dialogs,,false,"No contracts right now."
dialogAECQuestGiverDisableQuestingNext,dialogs,,false,"Questing is currently blocked for you. Clear that first."
npcAecQuestGiver,entityclasses,Entity,false,"AEC Huntmaster"
AECQuestGiverNPC,entityclasses,Entity,false,"AEC Huntmaster"
questAECDoomlordHordeRocket_name,quests,,false,"[FF4500]Rocket Corps[-]"
questAECDoomlordHordeRocket_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeRocket_description,quests,,false,"Activate the rally, place the lure, then break five Doomlord Rocket waves. Stay spread out."
questAECDoomlordHordeRocket_offer,quests,,false,"Rocket troops incoming. Trigger the rally, drop the lure, and prepare for five brutal waves. Do not cluster."
questAECDoomlordHordeRocket_statement,quests,,false,"and neutralize the Rocket Corps."
questAECDoomlordHordeRocket_response,quests,,false,"AEC HORDE - [FF4500]Rocket Corps[-]"
questAECDoomlordHordeRocket_completion,quests,,false,"Good job. Fewer targets but that blast radius doesn't mess around."
questAECDoomlordHordePistol_name,quests,,false,"[FF4500]Pistol Squad[-]"
questAECDoomlordHordePistol_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordePistol_description,quests,,false,"Activate the rally, place the lure, then clear five waves of Doomlord Pistol troopers. Fast and numerous."
questAECDoomlordHordePistol_offer,quests,,false,"Pistol squads are deploying in your sector. Trigger the rally, set the lure, and survive five waves."
questAECDoomlordHordePistol_statement,quests,,false,"Go in, activate the rally, place the lure, and clear all five Pistol waves."
questAECDoomlordHordePistol_response,quests,,false,"AEC HORDE - [FF4500]Pistol Squad[-]"
questAECDoomlordHordePistol_completion,quests,,false,"Pistol squad neutralized. Nice work."
questAECDoomlordHordeShotgun_name,quests,,false,"[FF4500]Shotgun Rush[-]"
questAECDoomlordHordeShotgun_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeShotgun_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Shotgun troopers."
questAECDoomlordHordeShotgun_offer,quests,,false,"Shotgun rush is inbound at a local site. Defend the position across three waves."
questAECDoomlordHordeShotgun_statement,quests,,false,"Get to the site and hold against the Shotgun rush."
questAECDoomlordHordeShotgun_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeShotgun_completion,quests,,false,"The rush is over. Excellent defense."
questAECDoomlordHordeSniper_name,quests,,false,"[FF4500]Sniper Nest[-]"
questAECDoomlordHordeSniper_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeSniper_description,quests,,false,"Activate the rally, place the lure, then clear five waves of Doomlord Snipers. Stay mobile and end them."
questAECDoomlordHordeSniper_offer,quests,,false,"High-value snipers are digging in. Trigger the rally, set the lure, and clear five waves before they lock down the area."
questAECDoomlordHordeSniper_statement,quests,,false,"Move in, activate the rally, place the lure, and clear the Sniper Nest across five waves."
questAECDoomlordHordeSniper_response,quests,,false,"AEC HORDE - [FF4500]Sniper Nest[-]"
questAECDoomlordHordeSniper_completion,quests,,false,"Nest cleared. Good work staying on the move."
questAECDoomlordHordeMagnum_name,quests,,false,"[FF4500]Magnum Guard[-]"
questAECDoomlordHordeMagnum_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeMagnum_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Magnum Guards."
questAECDoomlordHordeMagnum_offer,quests,,false,"Magnum Guard deploying on a site. Three tough waves — hold your ground."
questAECDoomlordHordeMagnum_statement,quests,,false,"Defend the site against three Magnum Guard waves."
questAECDoomlordHordeMagnum_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeMagnum_completion,quests,,false,"Magnum Guard repelled. Well held."
questAECDoomlordHordeKnife_name,quests,,false,"[FF4500]Knife Runners[-]"
questAECDoomlordHordeKnife_subtitle,quests,,false,"Doomlord T3 Defense"
questAECDoomlordHordeKnife_description,quests,,false,"Clear the POI first, then hold against three waves of Doomlord Knife Runners."
questAECDoomlordHordeKnife_offer,quests,,false,"Knife runners inbound at a local site. Three waves of close-quarters maniacs."
questAECDoomlordHordeKnife_statement,quests,,false,"Defend the site against three waves of Knife Runners."
questAECDoomlordHordeKnife_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeKnife_completion,quests,,false,"Not a scratch. Those runners never had a chance."
questAECDoomlordHordeDemo_name,quests,,false,"[FFAA00]Demo Squad[-]"
questAECDoomlordHordeDemo_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeDemo_description,quests,,false,"Activate the rally, place the lure, then survive five mixed waves of Grenadiers and Rockets. Every single target is lethal."
questAECDoomlordHordeDemo_offer,quests,,false,"Demo squad deployment. Trigger the rally, drop the lure, and brace for mixed grenades and rockets. Keep your distance."
questAECDoomlordHordeDemo_statement,quests,,false,"Activate the rally, place the lure, and neutralize the Demo Squad across five waves."
questAECDoomlordHordeDemo_response,quests,,false,"AEC HORDE - [FFAA00]Demo Squad[-]"
questAECDoomlordHordeDemo_completion,quests,,false,"Demo squad eliminated. Still got all your fingers?"
questAECDoomlordHordeFrontline_name,quests,,false,"[FFAA00]Frontline Assault[-]"
questAECDoomlordHordeFrontline_subtitle,quests,,false,"Doomlord T4 Defense"
questAECDoomlordHordeFrontline_description,quests,,false,"Clear the POI first, then hold against three frontline waves of Doomlord Shotgun and Knife troops."
questAECDoomlordHordeFrontline_offer,quests,,false,"Close-range assault: Shotguns and Knives together. The site won't last long without you."
questAECDoomlordHordeFrontline_statement,quests,,false,"Hold the site against three Frontline Assault waves."
questAECDoomlordHordeFrontline_response,quests,,false,"AEC HORDE ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordHordeFrontline_completion,quests,,false,"Frontline repelled. Brutal fighting. Well done."
questAECDoomlordHordeOverwatch_name,quests,,false,"[FFAA00]Overwatch[-]"
questAECDoomlordHordeOverwatch_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeOverwatch_description,quests,,false,"Activate the rally, place the lure, then dismantle five waves of Snipers and Magnums in Overwatch formation."
questAECDoomlordHordeOverwatch_offer,quests,,false,"Overwatch team spotted. Trigger the rally, set the lure, and watch your sight lines through five waves."
questAECDoomlordHordeOverwatch_statement,quests,,false,"Activate the rally, place the lure, and dismantle the Overwatch formation across five waves."
questAECDoomlordHordeOverwatch_response,quests,,false,"AEC HORDE - [FFAA00]Overwatch[-]"
questAECDoomlordHordeOverwatch_completion,quests,,false,"Overwatch neutralized. Outstanding target acquisition."
questAECDoomlordHordeFireTeam_name,quests,,false,"[FFAA00]Fire Team[-]"
questAECDoomlordHordeFireTeam_subtitle,quests,,false,"Doomlord T4 Mixed Horde"
questAECDoomlordHordeFireTeam_description,quests,,false,"Activate the rally, place the lure, then eliminate five waves of Pistols and Magnums operating as a coordinated fire team."
questAECDoomlordHordeFireTeam_offer,quests,,false,"Fire team inbound. Trigger the rally, drop the lure, and hold through five waves of coordinated pressure."
questAECDoomlordHordeFireTeam_statement,quests,,false,"Activate the rally, place the lure, and eliminate the Fire Team across five waves."
questAECDoomlordHordeFireTeam_response,quests,,false,"AEC HORDE - [FFAA00]Fire Team[-]"
questAECDoomlordHordeFireTeam_completion,quests,,false,"Fire Team down. Clean execution."
questAECDoomlordHunt_name,quests,,false,"[FF0000]HUNT: The Doomlord[-]"
questAECDoomlordHunt_subtitle,quests,,false,"Doomlord T5 Boss Hunt"
questAECDoomlordHunt_description,quests,,false,"Activate the rally, place the lure, survive six mixed waves of Doomlord elites, then face Demolishman himself."
questAECDoomlordHunt_offer,quests,,false,"Big contract. Trigger the rally, set the lure, survive six mixed elite troops, then face Demolishman yourself."
questAECDoomlordHunt_statement,quests,,false,"survive six waves, then kill Demolishman himself."
questAECDoomlordHunt_response,quests,,false,"AEC BOSS FIGHT - [FF0000]HUNT: The Doomlord[-]"
questAECDoomlordHunt_completion,quests,,false,"Impressive. Demolishman is dead. The Doomlord era is over."
questAECDoomlordHunt_obj_wave1,quests,,false,"Wave 1: Survive 45 seconds"
questAECDoomlordHunt_obj_wave2,quests,,false,"Wave 2: Survive 45 seconds"
questAECDoomlordHunt_obj_wave3,quests,,false,"Wave 3: Survive 45 seconds"
questAECDoomlordHunt_obj_wave4,quests,,false,"Wave 4: Survive 45 seconds"
questAECDoomlordHunt_obj_wave5,quests,,false,"Wave 5: Survive 45 seconds"
questAECDoomlordHunt_obj_wave6,quests,,false,"Wave 6: Survive 45 seconds"
questAECDoomlordHunt_obj_kill,quests,,false,"Kill the Doomlord: Demolishman"
questAECWaveChallenge_name,quests,,false,"[00E5FF]100 Waves Challenge[-]"
questAECWaveChallenge_subtitle,quests,,false,"AEC Endurance Contract"
questAECWaveChallenge_description,quests,,false,"Deploy the signal lure, lock down the area, and survive all 100 assault waves. Standard waves advance every 30 seconds. Every fifth wave becomes a 2 minute hold before the next assault begins."
questAECWaveChallenge_offer,quests,,false,"AEC has stabilized this endurance trial into a formal contract. Place the lure, survive each wave, and hold the line through every fifth-wave lockdown."
questAECWaveChallenge_statement,quests,,false,"I'll deploy the lure, survive all 100 timed waves, and finish the endurance contract cleanly."
questAECWaveChallenge_response,quests,,false,"AEC CONTRACT - [00E5FF]100 WAVE ENDURANCE[-]"
questAECWaveChallenge_completion,quests,,false,"Endurance contract complete. All 100 waves cleared."
buffAECWaveChallengeNextWave,,,false,"Next challenge wave"
buffAECWaveChallengeNextWaveDesc,,,false,"The next wave will arrive when this countdown ends."
questAECDoomlordSiege_name,quests,,false,"[FF0000]SIEGE: The Doomlord[-]"
questAECDoomlordSiege_subtitle,quests,,false,"Doomlord T5 Boss Siege"
questAECDoomlordSiege_description,quests,,false,"Clear the POI first, then survive four waves of Doomlord elites and kill Demolishman when he arrives."
questAECDoomlordSiege_offer,quests,,false,"Demolishman is personally leading a siege. Hold the position through four waves and take him down when he shows."
questAECDoomlordSiege_statement,quests,,false,"Hold the fortified site against four waves then kill Demolishman."
questAECDoomlordSiege_response,quests,,false,"AEC BOSS FIGHT ([DECEA3]{poi.distance} {poi.direction}[-]) [FF9900]{poi.name}[-]"
questAECDoomlordSiege_completion,quests,,false,"Siege broken. Demolishman is dead. Remarkable."
questAECDoomlordSiege_obj_kill,quests,,false,"Kill the Doomlord: Demolishman"
questAECDoomlord_obj_wave1,quests,,false,"Wave 1: Eliminate Doomlord Forces"
questAECDoomlord_obj_wave2,quests,,false,"Wave 2: Eliminate Doomlord Forces"
questAECDoomlord_obj_wave3,quests,,false,"Wave 3: Eliminate Doomlord Forces"
questAECDoomlord_obj_wave4,quests,,false,"Wave 4: Survive the Doomlord assault"
questAECDoomlord_obj_wave5,quests,,false,"Wave 5: Eliminate Doomlord Forces"
itemAECDoomlordHelmet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Helmet[-]"
itemAECDoomlordChestplate,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Chestplate[-]"
itemAECDoomlordGauntlet,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Gauntlet[-]"
itemAECDoomlordShoulder,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Shoulder Armor[-]"
itemAECDoomlordCore,,,false,"[FF0000]AEC[-] [FFD700]Doomlord Energy Core[-]"
itemAECDoomlordHordeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Horde Bundle[-]"
itemAECDoomlordAssaultBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Assault Bundle[-]"
itemAECDoomlordHuntBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Hunt Bundle[-]"
itemAECDoomlordSiegeBundle,,,false,"[FF4500]AEC[-] [FFD700]Doomlord Siege Bundle[-]"
itemAECDoomlordContract_Grenadier,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Grenadier Horde[-]"
itemAECDoomlordContract_Rocket,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Rocket Horde[-]"
itemAECDoomlordContract_Pistol,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Pistol Horde[-]"
itemAECDoomlordContract_Shotgun,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Shotgun Defense[-]"
itemAECDoomlordContract_Sniper,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Sniper Horde[-]"
itemAECDoomlordContract_Magnum,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Magnum Defense[-]"
itemAECDoomlordContract_Knife,,,false,"[00E5FF]AEC Hazard 3 |[-] [FFD700]Doomlord Contract | Knife Defense[-]"
itemAECDoomlordContract_Demo,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Demolition Squad[-]"
itemAECDoomlordContract_Frontline,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Frontline Assault[-]"
itemAECDoomlordContract_Overwatch,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Overwatch[-]"
itemAECDoomlordContract_FireTeam,,,false,"[FFD700]AEC Hazard 4 |[-] [FFD700]Doomlord Contract | Fire Team[-]"
itemAECDoomlordContract_Hunt,,,false,"[FF0000]AEC Hazard 5 |[-] [FFD700]Doomlord Contract | Boss Hunt[-]"
itemAECDoomlordContract_Siege,,,false,"[FF0000]AEC Hazard 5 |[-] [FFD700]Doomlord Contract | Boss Siege[-]"
itemAECDoomlordContract_100waveschallenge,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord grenadier[-]"
itemAECDoomlordContract_100waveschallenge_minion,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord Gun[-]"
itemAECDoomlordContract_100waveschallenge_minion02,,,false,"[00E5FF]AEC 100 waves challenge 0[FFD700]★[-] |[-] [FFD700]Doomlord Rocket[-]"
itemAECDoomlordHelmet_desc,,,false,"Doomlord Demolishman's armored helmet. A valued war trophy."
itemAECDoomlordChestplate_desc,,,false,"The chest armor of the Doomlord. Forged for one purpose: surviving everything."
itemAECDoomlordGauntlet_desc,,,false,"A combat gauntlet from Doomlord's elite forces."
itemAECDoomlordShoulder_desc,,,false,"Heavy shoulder armor stripped from a Doomlord trooper."
itemAECDoomlordCore_desc,,,false,"The energy core ripped from Demolishman himself. Extremely rare."
itemAECDoomlordHordeBundle_desc,,,false,"A reward cache from Doomlord Horde contracts. Contains useful supplies and possible trophies."
itemAECDoomlordAssaultBundle_desc,,,false,"An assault-grade reward bundle from Doomlord mixed-team contracts."
itemAECDoomlordHuntBundle_desc,,,false,"Elite hunting reward from a Doomlord Hunt contract. Chance for rare trophies."
itemAECDoomlordSiegeBundle_desc,,,false,"Siege reward bundle from a Doomlord Siege contract. Best chance for the Core."
airdrop_AEC_GenericRewardAmmo,entityclasses,Entity,false,"AEC Endless Ammo Drop"
airdrop_AEC_GenericRewardT01,entityclasses,Entity,false,"AEC Endless Reward Cache T01"
airdrop_AEC_GenericRewardT02,entityclasses,Entity,false,"AEC Endless Reward Cache T02"
airdrop_AEC_GenericRewardT03,entityclasses,Entity,false,"AEC Endless Reward Cache T03"
airdrop_AEC_GenericRewardT04,entityclasses,Entity,false,"AEC Endless Reward Cache T04"
airdrop_AEC_GenericRewardT05,entityclasses,Entity,false,"AEC Endless Reward Cache T05"
airdrop_AEC_GenericRewardT06,entityclasses,Entity,false,"AEC Endless Reward Cache T06"
airdrop_AEC_GenericRewardT07,entityclasses,Entity,false,"AEC Endless Reward Cache T07"
airdrop_AEC_GenericRewardT08,entityclasses,Entity,false,"AEC Endless Reward Cache T08"
airdrop_AEC_GenericRewardT09,entityclasses,Entity,false,"AEC Endless Reward Cache T09"
airdrop_AEC_GenericRewardT10,entityclasses,Entity,false,"AEC Endless Reward Cache T10"
airdrop_AEC_GenericRewardT11,entityclasses,Entity,false,"AEC Endless Reward Cache T11"
airdrop_AEC_GenericRewardT12,entityclasses,Entity,false,"AEC Endless Reward Cache T12"
airdrop_AEC_GenericRewardT13,entityclasses,Entity,false,"AEC Endless Reward Cache T13"
airdrop_AEC_GenericRewardT14,entityclasses,Entity,false,"AEC Endless Reward Cache T14"
airdrop_AEC_GenericRewardT15,entityclasses,Entity,false,"AEC Endless Reward Cache T15"
airdrop_AEC_GenericRewardT16,entityclasses,Entity,false,"AEC Endless Reward Cache T16"
airdrop_AEC_GenericRewardT17,entityclasses,Entity,false,"AEC Endless Reward Cache T17"
airdrop_AEC_GenericRewardT18,entityclasses,Entity,false,"AEC Endless Reward Cache T18"
airdrop_AEC_GenericRewardT19,entityclasses,Entity,false,"AEC Endless Reward Cache T19"
airdrop_AEC_GenericRewardT20,entityclasses,Entity,false,"AEC Endless Reward Cache T20"
itemAECDoomlordContract_Grenadier_desc,,,false,"Contract: Hunt down five waves of Doomlord Grenadiers."
itemAECDoomlordContract_Rocket_desc,,,false,"Contract: Neutralize five Doomlord Rocket waves."
itemAECDoomlordContract_Pistol_desc,,,false,"Contract: Eliminate five waves of Doomlord Pistol troopers."
itemAECDoomlordContract_Shotgun_desc,,,false,"Contract: Eliminate five waves of Doomlord Shotgun troopers in the wild."
itemAECDoomlordContract_Sniper_desc,,,false,"Contract: Clear five waves of Doomlord Snipers from the field."
itemAECDoomlordContract_Magnum_desc,,,false,"Contract: Hunt down five waves of Doomlord Magnum patrols in the open."
itemAECDoomlordContract_Knife_desc,,,false,"Contract: Stop five waves of Doomlord Knife Runners in the wild."
itemAECDoomlordContract_Demo_desc,,,false,"Contract: Survive five waves of the explosive Demo Squad (Grenadiers + Rockets)."
